winery,country,provinces,prices,scores,designations,varieties,num_wines
Lisini,{Italy},{Tuscany},"{80.0, 118.0}","{92, 93}",{Riserva},"{Sangiovese Grosso, Sangiovese}",3
Lismore Range,{Australia},{Australia Other},{12.0},{87},{Reserve},{Chardonnay},1
Listel,{France},{Languedoc-Roussillon},{10.0},{86},{Tête de Cuvée Grain de Gris},{Rosé},1
Little Black Dress,{US},{California},{10.0},{82},{Syrah},{Rosé},1
Little Giant,{US},{California},{55.0},{92},{Lamonica},{Cabernet Sauvignon},1
Little Stone Vineyard,{US},{California},{19.0},{84},{Adrian's Reserve},{Cabernet Sauvignon},1
Little Vineyards,{US},{California},{35.0},{83},{Late Harvest},{Zinfandel},1
Littore,{Australia},{Australia Other},{30.0},"{91, 85}",{Idyll Vineyard},"{Chardonnay, Shiraz}",2
Livernano,{Italy},{Tuscany},"{40.0, 17.0, 54.0}","{88, 87}","{Riserva, L'Anima}","{Red Blend, White Blend}",3
Livia Fontana,{Italy},{Piedmont},{70.0},{92},{Riserva},{Nebbiolo},1
Livingston Moffett,{US},{California},{75.0},{90},{Gemstone Vineyard},{Bordeaux-style Red Blend},1
Livio Felluga,{Italy},{Northeastern Italy},"{35.0, 100.0, 41.0, 75.0, 80.0, 50.0, 55.0, 25.0, 90.0}","{96, 97, 86, 87, 88, 90, 91, 93, 95}","{Terre Alte, Picolit, Abbazia di Rosazzo, Sossó Rosazzo Riserva, Illivio}","{White Blend, Picolit, Red Blend}",14
Livio Sassetti,{Italy},{Tuscany},"{169.0, 110.0, 55.0}","{86, 87, 90, 92, 94, 95}","{Pertimali, Pertimali Riserva, Dieci}","{Sangiovese, Sangiovese Grosso}",7
Livio Voghera,{Italy},{Piedmont},"{48.0, 49.0, 37.0, 46.0}","{90, 92, 85, 87}","{Basarin, Vigna Basarin}","{Nebbiolo, Barbera}",4
Livius,{Spain},{Northern Spain},{75.0},{86},{Garnacha},{Garnacha},1
Livon,{Italy},{Northeastern Italy},"{26.0, 35.0, 45.0}","{88, 89, 90}","{Soluna, Valbuins, Braide Grande, Braide Alte}","{Malvasia, Sauvignon, Pinot Grigio, White Blend}",4
Llama,{Argentina},{Mendoza Province},{15.0},{86},{Old Vine},{Malbec},1
Llano Estacado,{US},{Texas},"{35.0, 11.0, 20.0, 14.0}","{82, 83, 84, 85, 89}","{Signature, 1836, Mont Sec Vineyard, Viviano, Cellar Reserve}","{Rosé, White Blend, Viognier, Cabernet Sauvignon-Sangiovese, Cabernet Sauvignon}",5
Lleiroso,{Spain},{Northern Spain},"{64.0, 59.0, 29.0}","{90, 92, 93}","{Crianza, Reserva, Reserva Edición Especial Sergio Hernández}",{Tempranillo},4
Llopart,{Spain},{Catalonia},"{35.0, 40.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 29.0}","{85, 87, 88, 89, 90, 91}","{Rosé Brut Reserva, Brut Reserva, Brut Reserva Rosé, Leopardi Rosé Reserva Brut, Panoramic Reserva Imperial}",{Sparkling Blend},13
Lo Nuevo,{Spain},"{Northern Spain, Galicia, Levante}","{16.0, 10.0, 12.0, 15.0}","{82, 84, 86, 87}","{Covello, Vilata Old Vines, Lunares Old Vines, Sorbo a Sorbo Old Vines}","{Albariño, Monastrell-Syrah, Verdejo, Garnacha}",10
Lo Sparviere,{Italy},{Lombardy},"{25.0, 45.0}","{89, 84}","{Extra Brut, Satèn}",{Chardonnay},2
Loacker,{Italy},"{Northeastern Italy, Tuscany}","{35.0, 14.0, 16.0, 18.0, 19.0, 25.0}","{85, 86, 87, 88, 89}","{Valdifalco, Tasmin, Morit St. Magdalener Classico, Ateyon, Tasniti}","{Red Blend, Sauvignon Blanc, Sauvignon, Chardonnay, Gewürztraminer}",8
Lobo,"{US, Portugal}","{California, Península de Setúbal}","{64.0, 65.0, 8.0, 42.0, 80.0, 20.0, 55.0, 58.0, 60.0}","{86, 87, 88, 89, 90, 91, 92, 94}","{Wulff Vineyards, Howl Wulff Vineyards Custom, Lobocellar, Selecção Cabernet Sauvignon-Touriga Nacional, Selecção Syrah-Touriga Nacional}","{Cabernet Sauvignon, Portuguese Red, Chardonnay, Red Blend, Syrah-Cabernet Sauvignon}",15
Lobo Hills,{US},{Washington},"{35.0, 22.0, 30.0}","{90, 91}","{Roth Rock Farm, Stonetree Vineyard, Inland Desert, Spilya Vineyard, Right Bank Blend Lonesome Springs Ranch}","{Chenin Blanc, Syrah, Auxerrois, Bordeaux-style Red Blend}",6
Locati Cellars,{US},{Washington},"{25.0, 18.0, 20.0}","{82, 84, 85}","{Innovation, Dry}","{Red Blend, Orange Muscat}",3
Locations,{US},"{California, Washington}",{20.0},"{88, 92, 87}","{CA4, WA4, CA 4}","{Rhône-style Red Blend, Red Blend, White Blend}",3
Lockwood,{US},{California},"{11.0, 20.0, 15.0}","{84, 85, 87}","{Liquid Velvet, Estate Grown & Bottled, San Lucas Unoaked Pure}","{Red Blend, Sauvignon Blanc, Chardonnay}",3
Locus,{US},{Washington},"{25.0, 15.0}","{90, 84}","{Stonetree Vineyard, Dineen Vineyard}","{Syrah, Sémillon}",3
Loel,{Cyprus},{Commandaria},{17.0},{89},{Alasia Dessert Wine},{Red Blend},1
Loess,{Spain},{Northern Spain},"{25.0, 18.0, 55.0}","{91, 84, 87}","{Blanco, Collection Blanco, Collection}","{Verdejo, Tempranillo}",4
Logan,{US},{California},{22.0},{91},{Sleepy Hollow Vineyard},{Chardonnay},1
Logan Australia,{Australia},{New South Wales},{21.0},{86},{Reserve},{Chardonnay},1
Logodaj,{Bulgaria},{Thracian Valley},{19.0},{89},{Bijoux},{White Blend},1
Loica,{Chile},{Leyda Valley},{15.0},{84},{Pacific Series},{Sauvignon Blanc},1
Loimer,{Austria},"{Kamptal, Niederösterreich, Thermenregion}","{13.0, 15.0, 16.0, 20.0, 21.0, 22.0, 24.0, 25.0, 30.0, 31.0, 32.0, 33.0, 35.0, 40.0, 57.0, 60.0, 65.0, 70.0, 75.0, 80.0, 90.0}","{96, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95}","{Langenlois, Lois, Lenz, Steinmassl, Terrassen}","{Grüner Veltliner, Riesling, Sparkling Blend, Pinot Noir, Austrian white blend}",50
Lois Rae,{US},{California},{35.0},{88},{Las Madres Vineyard},{Syrah},1
Loken Cellars,{US},{California},"{25.0, 18.0, 26.0}","{80, 82, 83, 85}","{Penn Valley Vineyards, Reserve Lot 14 Grenache, Reserve Lot 13 Tecklenberg Ranch, Reserve Lot 14}","{Rosé, Cabernet Sauvignon, Zinfandel}",5
Lola Kay,{US},{California},{20.0},{88},{Proprietary Red Wine},{Red Blend},1
Lolonis,{US},{California},"{28.0, 30.0}","{83, 84, 87, 88, 89}","{Private Reserve, Winegrower Selection Golden Vineyard, Winegrower Selection Chase Vineyard, Tollini Vineyard}","{Zinfandel, Petite Sirah, Merlot, Cabernet Sauvignon}",5
Loma Larga,{Chile},{Casablanca Valley},"{36.0, 40.0, 15.0, 20.0, 25.0, 26.0, 28.0, 30.0}","{80, 82, 83, 84, 87, 88, 90, 93}","{Unfiltered, Unfiltered Rapsodia, Brut Nature Limited Edition}","{Cabernet Franc, Pinot Noir, Red Blend, Malbec, Merlot}",11
Loma Prieta,{US},{California},"{50.0, 45.0}","{92, 87}","{Amorosa Vineyard, Saveria Vineyard}","{Pinotage, Pinot Noir}",2
Lomas del Valle,{Chile},{Casablanca Valley},"{12.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 21.0}","{82, 83, 84, 85, 86, 87, 88, 89, 90}","{Coastal Cool Climate, Coastal Cool Climate Wine Single Vineyard, Coastal Cool Climate Estate Bottled, Coastal Cool Climate Single Vineyard, Coast Cool Climate}","{Pinot Noir, Sauvignon Blanc, Merlot, Chardonnay, Malbec}",21
Lombard et Cie,{France},{Champagne},"{35.0, 40.0, 140.0, 45.0, 80.0, 50.0, 55.0, 60.0}","{85, 87, 88, 89, 90, 91, 92, 93, 94}","{Brut Nature Grand Cru, Brut Nature Grand Cru Blanc de Blancs, Brut Nature Verzenay Grand Cru, Brut Nature Chouilly Grand Cru, Brut Rosé Premier Cru}","{Champagne Blend, Chardonnay, Pinot Noir}",22
Lomond,{South Africa},{Cape Agulhas},{25.0},{90},{Pincushion Vineyard},{Sauvignon Blanc},1
Londer,{US},{California},"{48.0, 24.0, 26.0, 27.0}","{88, 91, 93, 87}","{Dry, Paraboll, Corby Vineyard, Estate Grown}","{Pinot Noir, Gewürztraminer, Chardonnay}",5
Lone Madrone,{US},{California},"{32.0, 35.0, 38.0, 40.0, 45.0, 48.0, 23.0, 25.0, 60.0, 30.0}","{83, 87, 88, 89, 90, 91, 92, 93}","{Points West, Sheep Camp, Old Hat, Oveja Negra, La Mezcla Roja}","{Red Blend, Zinfandel, Rhône-style Red Blend, Rhône-style White Blend, Nebbiolo}",29
Long Flat,{Australia},"{South Australia, Victoria}",{15.0},"{89, 85, 87}",{Destinations},"{Sauvignon Blanc, Riesling, Cabernet Sauvignon, Pinot Noir}",4
Long Island Merlot Alliance,{US},{New York},{35.0},"{88, 86}",{Merliance},{Merlot},3
Long Meadow Ranch,{US},{California},{25.0},{90},{Rosé of},{Pinot Noir},1
Long Point,{US},{New York},"{9.0, 14.0}","{82, 85}","{Ciera, Dry}","{Rosé, Riesling}",2
Longboard,{US},{California},"{65.0, 35.0, 40.0, 42.0, 75.0, 45.0, 47.0, 48.0, 49.0, 50.0, 54.0, 55.0, 24.0, 25.0, 27.0, 30.0}","{84, 86, 87, 88, 89, 90, 91, 92, 93}","{Rochioli Vineyard, Point Break, DaKine Vineyard, Ledbetter Family Vineyard, Wholer Vineyard}","{Syrah, Chardonnay, Red Blend, Sparkling Blend, Merlot}",34
Longevity,{US},{California},"{32.0, 36.0, 38.0, 40.0, 18.0, 22.0, 24.0}","{82, 85, 86, 87, 88, 89}","{Vintner Select, deb-ru-vée, Syrah, Sandy Bend Vineyard, deb-ru-vée Vintner Select}","{Red Blend, Cabernet Sauvignon, Rosé, Muscat Canelli}",8
Longoria,{US},{California},"{32.0, 36.0, 38.0, 40.0, 42.0, 45.0, 48.0, 50.0, 55.0, 54.0, 23.0, 22.0, 25.0, 28.0, 30.0}","{84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94}","{Clover Creek Vineyard, Fe Ciega Vineyard, Blues Cuvée, Bien Nacido Vineyard, Lovely Rita}","{Pinot Noir, Chardonnay, Albariño, Red Blend, Tempranillo}",49
Longplay,{US},{Oregon},"{32.0, 34.0, 38.0, 45.0, 20.0, 24.0, 27.0}","{85, 86, 87, 88, 89, 91}","{Lia's Vineyard, Lia's Vineyard Jory Slope, Lia's Vineyard Jory Bench Reserve, Lia's Vineyard Hi-Tone}","{Pinot Noir, Chardonnay}",13
Longridge,{South Africa},"{Stellenbosch, South Africa}",{10.0},"{86, 87}","{Bay View, Bayview}","{Merlot, Pinotage}",2
Longship,{US},{Washington},"{32.0, 36.0, 38.0, 20.0, 24.0}","{85, 87}","{Luck Dragon, Wild Harvest, Ginger Man, Wise Man, Quinn}","{Chardonnay, Rosé, Syrah, Cabernet Sauvignon, Red Blend}",5
Longview,{Australia},{South Australia},"{13.0, 15.0, 18.0, 19.0, 25.0}","{86, 87, 88, 89, 90}","{Red Bucket, Devils Elbow Single Vineyard, Whippet, Iron Knob Single Vineyard, Yakka}","{Cabernet Sauvignon, Sauvignon Blanc, Semillon-Sauvignon Blanc, Riesling, Shiraz}",7
Longwood,{Australia},{South Australia},"{40.0, 17.0, 18.0, 30.0}","{89, 90, 91, 87}","{Twelve Staves, Reserve, Single Vineyard, The Shearer}","{Shiraz, Shiraz-Grenache}",4
Lonia,{Spain},{Catalonia},{16.0},{88},{Brut Reserva Selección de la Familia},{Sparkling Blend},2
Lookout Point,{US},{Washington},{24.0},{90},{Tableau},{Red Blend},1
Lookout Ridge,{US},{California},{100.0},"{92, 93, 94}","{Greg La Follette Van de Kamp Vineyard, Andy Erickson, Cathy Corison, Gerhard Reisacher, Marco DiGiulio}","{Cabernet Sauvignon, Pinot Noir, Syrah}",5
Loom,{Australia},{South Australia},{28.0},{90},{SV},{Pinot Noir},2
Loomis,{US},{California},"{32.0, 18.0}",{84},"{Air, Ember}","{Rosé, Rhône-style Red Blend}",2
Loosen Bros.,{Germany},"{Mosel, Germany}","{16.0, 12.0}","{88, 89, 90, 91}","{Dr. L, Dr. L Dry, Dr. L Sparkling}",{Riesling},8
Loredan Gasparini,{Italy},"{Italy Other, Veneto}","{21.0, 15.0}","{89, 87}","{Brut Metodo Classico, Brut}","{Sparkling Blend, Glera}",2
Lorenz Martini,{Italy},{Northeastern Italy},"{25.0, 60.0}",{90},"{Comitissa Glod Gran Riserva, Riserva Comitissa Brut}","{Sparkling Blend, White Blend}",2
Lorenzi Estate,{US},{California},"{65.0, 35.0, 26.0, 38.0, 42.0, 75.0, 45.0, 46.0, 48.0, 20.0, 52.0, 55.0, 120.0, 58.0, 28.0}","{83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94}","{Reserve, Varietal Collection Dijon Clone 76, The Catalyst, Barrels 12, 13 and 14, Estate Grown}","{Red Blend, Zinfandel, Syrah, Cabernet Sauvignon, Chardonnay}",35
Lorgeril,{France},{Languedoc-Roussillon},"{13.0, 14.0}","{84, 86}","{La Combe Des Oliviers, 1620, Château de Pennautier}","{Red Blend, Cabernet Franc, Syrah-Viognier}",3
Loring Wine Company,{US},"{California, Oregon}","{36.0, 40.0, 44.0, 45.0, 50.0, 54.0}","{83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95}","{Rosella's Vineyard, Durell Vineyard, Sierra Mar Vineyard, Russell Family Vineyard, Garys' Vineyard}","{Pinot Noir, Chardonnay, Mourvèdre, Dornfelder}",61
Loriñon,{Spain},{Northern Spain},"{16.0, 18.0, 13.0}","{83, 86, 87}","{Crianza, Reserva}","{Tempranillo, Tempranillo Blend}",4
Lornano,{Italy},{Tuscany},"{65.0, 36.0, 39.0}","{88, 90, 92}","{Gran Selezione, Riserva, Commendator Enrico}","{Red Blend, Sangiovese}",7
Loron et Fils,{France},"{Beaujolais, Burgundy}","{35.0, 10.0, 12.0, 14.0, 17.0, 18.0, 24.0, 26.0, 30.0}","{84, 85, 86, 87, 89, 90}","{Cheateau de la Pierre, Château de Mirande, Beau!, Réserve Caveau Vieilles Vignes, La Crochette}","{Gamay, Chardonnay}",11
Los Andicos,{Argentina},{Mendoza Province},{15.0},{85},{Selección Especial},{Malbec},1
Los Clop,{Argentina},{Mendoza Province},{19.0},"{84, 86}",{Reserva},"{Malbec, Cabernet Sauvignon}",2
Los Dos,{Spain},{Northern Spain},{8.0},{85},{Muscat-Chardonnay},{White Blend},1
Los Haroldos,{Argentina},{Mendoza Province},"{17.0, 20.0}","{86, 87}","{Reserva de Familia, Roble}","{Malbec, Cabernet Sauvignon}",3
Los Molles,{Chile},{Limarí Valley},"{13.0, 14.0, 16.0, 20.0, 21.0}","{89, 84, 85, 87}","{Reserva, Reserva Especial, Late Harvest Botrytis Reserva - 375 ml}","{Syrah, Viognier, Chardonnay, Pinot Noir, Sauvignon Blanc}",6
Los Monteros,{Spain},{Catalonia},{13.0},{86},{Brut Metodo Tradicional},{Macabeo},1
Los Pinos Ranch,{US},{Texas},"{19.0, 21.0, 23.0}","{83, 84, 85}","{Texican, Diamante Doble Vineyards, Blanco Grande Estate Grown, Lost Draw Vineyards}","{Red Blend, Viognier, Blanc du Bois, Vermentino}",4
Losada,{Spain},{Northern Spain},"{36.0, 39.0, 40.0, 44.0, 16.0, 18.0, 55.0}","{86, 89, 90, 92, 93}","{Altos de Losada, El Pájaro Rojo, Altos de Losada La Bienquerida, Altos de Losada Viñedos Viejos Pequeñas Parcelas}",{Mencía},7
Loscano,{Argentina},"{Mendoza Province, Other}","{17.0, 22.0}","{88, 89, 84}","{Private Reserve, Capriccio Reserve Blend, Gran Reserve}","{Red Blend, Cabernet Sauvignon, Torrontés, Malbec}",7
Losi,{Italy},{Tuscany},{40.0},{90},{Millennium Gran Selezione},{Red Blend},1
Losi Querciavalle,{Italy},{Tuscany},"{35.0, 45.0}","{88, 91, 92}","{Riserva, Millennium Gran Selezione}",{Red Blend},3
Lost Angel,{US},{California},{10.0},"{82, 84, 85}","{Ruckus, Mischief}","{White Blend, Red Blend}",4
Lost Blues,{US},{California},{42.0},"{88, 92, 93}","{Good Fences, Walking Boss}","{Syrah-Grenache, Grenache-Syrah, Syrah}",3
Lost Canyon,{US},{California},"{42.0, 35.0, 45.0, 38.0}","{82, 87, 88, 90, 91, 92, 93, 95}","{Morelli Lane Vineyard, Trenton Station Vineyard, Saralee's Vineyard, Las Brisas Vineyard, Widdoes Vineyard}","{Pinot Noir, Syrah, Chardonnay}",25
Lost Creek,{US},{Virginia},{29.0},{84},{Genesis},{Red Blend},1
Lost Oak,{US},{Texas},"{25.0, 26.0, 21.0}","{80, 84, 85}","{Bingham Family Vineyard, Red Roan}","{Red Blend, Viognier, Tempranillo}",3
Lost River,{US},{Washington},"{16.0, 26.0, 22.0}","{88, 84, 86}","{Cedarosa, Rainshadow White Wine, Wallula Vineyard}","{Bordeaux-style Red Blend, Red Blend, White Blend, Syrah}",4
Loteta,{Spain},{Northern Spain},{10.0},{82},{Garnacha-Tempranillo-Cabernet Sauvignon-Syrah},{Red Blend},1
Loubud,{US},{California},{25.0},{90},{Cebada Vineyards Rose of},{Pinot Noir},1
Louis Bernard,{France},{Rhône Valley},"{34.0, 43.0, 44.0, 12.0, 14.0, 15.0, 45.0, 17.0, 13.0, 25.0}","{84, 86, 87, 88, 89, 90, 91, 92}","{Château Noël Saint Laurent, Domaine le Garrigon Cuvée des Vieux Truffiers, Les Carbonnières, Domaine de Montbayon, Domaine du Père Hugues Plan de Dieu}","{Rhône-style Red Blend, Rhône-style White Blend}",16
Louis Bouillot,{France},{Burgundy},"{17.0, 20.0, 22.0, 25.0, 59.0}","{83, 86, 87, 88, 89, 90}","{Perle d'Or Brut, Perle d'Ivoire Blanc de Blancs Brut, Perle d'Aurore Rosé Brut, Perle de Nuit Blanc de Noirs Brut, Rosé Perle d'Aurore}","{Champagne Blend, Sparkling Blend, Pinot Noir, Chardonnay}",8
Louis Chalvon,{France},{Champagne},{46.0},{87},{Grande Réserve Brut},{Champagne Blend},1
Louis Chevallier,{France},{Burgundy},{79.0},{89},{Les Vaucrains Premier Cru},{Pinot Noir},1
Louis Drescher,{Spain},{Catalonia},{15.0},{84},{Amor Special Cuvée},{Sparkling Blend},1
Louis Guntrum,{Germany},{Rheinhessen},"{14.0, 20.0, 58.0, 28.0, 30.0, 63.0}","{85, 86, 88, 89, 91, 93}","{Nierstein Bergkirche Kabinett, Niersteiner Bergkirche Kabinett, Oppenheim Sackträger Spätlese Trocken, Penguin Eiswein, Kabinett}","{Riesling, Silvaner, Scheurebe}",8
Louis Jadot,{France},"{Burgundy, Beaujolais}","{132.0, 133.0, 135.0, 14.0, 36.0, 37.0, 166.0, 38.0, 40.0, 39.0, 44.0, 45.0, 50.0, 54.0, 59.0, 62.0, 65.0, 70.0, 75.0, 206.0, 79.0, 80.0, 208.0, 85.0, 90.0, 476.0, 93.0, 95.0, 103.0, 109.0, 112.0, 122.0, 125.0}","{96, 97, 85, 87, 89, 90, 91, 92, 93, 94, 95}","{Petite Chapelle Premier Cru, Clos des Ursules Premier Cru, Domaine Duc de Magenta Clos de la Garenne Premier Cru, Clos Saint-Jacques Premier Cru, Les Baudes Premier Cru}","{Pinot Noir, Chardonnay, Gamay}",49
Louis Latour,{France},"{Burgundy, Provence}","{129.0, 130.0, 135.0, 650.0, 140.0, 12.0, 14.0, 399.0, 16.0, 145.0, 23.0, 280.0, 25.0, 24.0, 160.0, 35.0, 165.0, 40.0, 425.0, 170.0, 299.0, 44.0, 45.0, 47.0, 48.0, 50.0, 54.0, 55.0, 310.0, 60.0, 320.0, 65.0, 450.0, 580.0, 69.0, 70.0, 75.0, 78.0, 80.0, 85.0, 90.0, 350.0, 95.0, 99.0, 100.0, 359.0, 105.0, 115.0, 630.0, 120.0, 249.0, 380.0}","{96, 83, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95}","{Morgeot Premier Cru, Château Corton Grancey, Cuvée Héritiers Latour, Les Damodes Premier Cru, Les Chaillots Premier Cru}","{Pinot Noir, Chardonnay}",99
Louis M. Martini,{US},{California},"{65.0, 40.0, 145.0, 50.0, 85.0, 22.0, 55.0, 25.0, 90.0, 60.0}","{85, 86, 87, 88, 89, 90, 91, 92, 93, 94}","{Monte Rosso Vineyard, Monte Rosso Vineyard Gnarly Vine, Lot No. 1, Reserve, Monte Rosso Vineyard Mountain}","{Cabernet Sauvignon, Zinfandel, Chardonnay, Red Blend, Malbec}",20
Louis Max,{France},{Burgundy},"{32.0, 65.0, 33.0, 160.0, 68.0, 38.0, 41.0, 44.0, 14.0, 18.0, 19.0, 61.0, 55.0, 23.0, 90.0, 60.0, 29.0, 30.0}","{85, 86, 87, 88, 89, 90, 91, 92, 93}","{Beaucharme, Clos la Marche, Vieilles Vignes, Les Rochelles, Vignes du Domaine}","{Pinot Noir, Chardonnay}",23
Louis Métaireau,{France},{Loire Valley},"{26.0, 19.0}","{89, 91, 87}","{Grand Mouton, One, Petit Mouton}",{Melon},3
Louis Perdrier,{France},{France Other},{10.0},{85},{Brut Excellence},{Sparkling Blend},1
Louis Pommery,{US},{California},{22.0},{90},{Brut},{Sparkling Blend},1
Louis Roederer,{France},{Champagne},"{35.0, 42.0, 43.0, 47.0, 179.0, 52.0, 54.0, 55.0, 67.0, 70.0, 72.0, 78.0, 79.0, 80.0, 595.0, 85.0, 86.0, 469.0, 600.0, 89.0, 249.0, 250.0}","{96, 97, 100, 86, 89, 90, 91, 92, 93, 94, 95}","{Brut Rosé, Blanc de Blancs Brut, Vintage Brut, Rosé Brut, Brut Premier}","{Champagne Blend, Chardonnay}",45
Louis Sipp,{France},{Alsace},"{40.0, 16.0, 22.0, 23.0, 27.0}","{94, 85, 93, 86}","{Osterberg Grand Cru, Nature'S, Brut}","{Gewürztraminer, Pinot Blanc, Riesling, Sparkling Blend, Pinot Noir}",7
Louis Tête,{France},{Beaujolais},{19.0},{89},{Les Charmeuses},{Gamay},1
Louis de Grenelle,{France},{Loire Valley},"{25.0, 20.0, 22.0}","{88, 90, 87}","{Platine Brut, Rosé Brut, Cuvée Louis}",{Sparkling Blend},4
Louis de Sacy,{France},{Champagne},"{32.0, 42.0, 52.0}","{89, 90, 91}","{Brut Rosé Grand Cru, Brut Originel, Brut Grand Cru}",{Champagne Blend},3
Louise Brison,{France},{Champagne},"{40.0, 50.0}","{91, 93}","{Millésime Brut, Tendresse Brut}","{Champagne Blend, Chardonnay}",2
Loukatos,{Greece},{Mavrodaphne of Patras},{11.0},{85},{Red Dessert Wine},{Mavrodaphne},1
Loup Blanc,{France},{Languedoc-Roussillon},{25.0},{90},{La Mère Grand},{Rhône-style Red Blend},1
Lourensford,{South Africa},{Stellenbosch},{20.0},{90},{The Dome},{Chardonnay},1
Love & Squalor,{US},{Oregon},"{36.0, 48.0, 52.0, 27.0, 28.0, 30.0}","{86, 89, 90, 91, 92}","{Antsy Pants, Sunny Mountain Vineyard, Field Blend Wings of Desire, Sunnyside Vineyard}","{Pinot Noir, Riesling, White Blend}",10
Love That Red,{US},{Washington},"{32.0, 36.0, 45.0, 18.0, 50.0}","{88, 89, 91, 86}","{Stakes Race, Daily Double, Love That, Dead Heat}","{Syrah, Rosé, Cabernet Sauvignon, Bordeaux-style Red Blend}",7
Lovingston,{US},{Virginia},"{35.0, 40.0, 14.0, 15.0, 18.0, 19.0, 20.0, 22.0, 23.0, 24.0, 25.0, 26.0}","{84, 85, 86, 87, 88, 89, 90, 91}","{Josie's Knoll, Gilbert's Vineyard, Josie's Knoll Rotunda, Rotunda Red, Estate Reserve Josie's Knoll}","{Merlot, Cabernet Franc, Chardonnay, Red Blend, Bordeaux-style Red Blend}",25
Lowden Hills,{US},{Washington},{36.0},{90},{Twelve Red},{Red Blend},1
Loxarel,{Spain},{Catalonia},"{13.0, 15.0}","{89, 82, 87}","{Cuvée Henri Reserva Limited Production, ops, 999 Brut Rosat, 999 Brut Nature Rosé}","{Sparkling Blend, Red Blend}",4
Loxton,{US},{California},{26.0},{90},{Timbervine Ranch},{Syrah},1
Loïc Mahe,{France},{Loire Valley},"{40.0, 30.0}","{93, 94}","{Les Fougeraies, Château la Franchaie}",{Chenin Blanc},2
Luberri,{Spain},{Northern Spain},"{18.0, 15.0}","{89, 86}","{Seis, Orlegi}","{Tempranillo, Tempranillo Blend}",3
Luc Mérat,{France},{Champagne},{60.0},{85},"{La Diva Brut, La Diva Rosé Brut}",{Champagne Blend},2
Luca,{Argentina},{Mendoza Province},"{32.0, 25.0}","{85, 88, 89, 90, 91}","{Laborde Double Select, G Lot}","{Syrah, Chardonnay, Pinot Noir}",6
Luca Faccinelli,{Italy},{Lombardy},{20.0},{85},{Matteo Bandello Rosso},{Nebbiolo},1
Lucania,{Italy},{Southern Italy},"{32.0, 35.0, 11.0, 14.0, 25.0}","{88, 90, 91, 87}","{Gricos, Grifalco, Damaschito, Bosco del Falco}",{Aglianico},8
Lucas & Lewellen,{US},{California},"{32.0, 35.0, 36.0, 26.0, 38.0, 78.0, 48.0, 17.0, 18.0, 20.0, 24.0, 25.0, 58.0, 27.0, 29.0, 30.0}","{81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93}","{Valley View Vineyard, Goodchild High 9 Vineyard, Estate Vineyards Rosé of, Estate Vineyards, Judge's Reserve}","{Pinot Noir, Cabernet Sauvignon, Malbec, Chardonnay, Merlot}",34
Lucas Vineyards,{US},{New York},"{9.0, 10.0, 12.0, 13.0, 14.0, 15.0, 18.0, 20.0, 25.0}","{82, 83, 84, 85, 86, 87, 90}","{Dry, Limited Reserve, Semi-Dry, Semi Dry, Limited Release}","{Riesling, Cabernet Franc, Syrah, Gewürztraminer, Rosé}",28
Lucatoni,{Chile},{Colchagua Valley},{20.0},{92},{Grand Reserve},{Cabernet Sauvignon},1
Luccarelli,{Italy},{Southern Italy},{15.0},"{85, 87}",{Ampelo},"{Malvasia Nera, Verdeca}",2
Luce della Vite,{Italy},{Tuscany},"{25.0, 92.0, 30.0}","{89, 90, 93}","{Lucente, Luce}","{Red Blend, Sangiovese Grosso}",3
Lucia,{US},{California},"{50.0, 45.0}","{88, 89, 90, 91, 92, 93}","{Soberanes Vineyard, Garys' Vineyard}","{Syrah, Chardonnay, Pinot Noir}",6
Luciana Cordioli,{Italy},{Veneto},"{25.0, 27.0, 20.0}","{86, 87}",{Vignenuove},"{Corvina, Rondinella, Molinara, Red Blend, Corvina}",4
Luciano Sandrone,{Italy},{Piedmont},"{154.0, 155.0, 165.0}","{96, 94, 95}","{Cannubi Boschis, Le Vigne}",{Nebbiolo},4
Lucie,{US},{California},"{50.0, 60.0}","{90, 92, 93, 94}","{Dutton Ranch Widdoes Vineyard, Bacigalupi Vineyard, Bacigalupi Vinyard, Dutton Ranch Dutton Hill Vineyard, Dutton Ranch}","{Pinot Noir, Chardonnay}",8
Lucien Albrecht,{France},{Alsace},"{43.0, 45.0, 14.0, 16.0, 17.0, 18.0, 19.0, 20.0, 22.0, 23.0, 27.0, 30.0, 31.0}","{85, 86, 87, 88, 89, 90, 91}","{Réserve, Brut Rosé, Cuvée Romanus, Brut, Cuvée Marie}","{Gewürztraminer, Sparkling Blend, Pinot Gris, Riesling, Pinot Noir}",27
Lucien Crochet,{France},{Loire Valley},{20.0},{90},{La Croix du Roy},{Sauvignon Blanc},1
